customer_key,customer_id,name,city,phone_masked,email_masked,valid_from,valid_to,is_current,version
1,CUST00000,George Rai,Chennai,XXXXX-8495,p***@example.net,2026-07-23 18:22:08.465527,,True,1
2,CUST00001,Ekaraj Bath,Jaipur,XXXXX-5341,b***@example.org,2026-07-23 18:22:08.465527,,True,1
3,CUST00002,Yash Gade,Kolkata,XXXXX-5641,r***@example.net,2026-07-23 18:22:08.465527,,True,1
4,CUST00003,Simon Tata,Surat,XXXXX-9653,j***@example.com,2026-07-23 18:22:08.465527,,True,1
5,CUST00004,Gavin Batta,Surat,XXXXX-8480,d***@example.net,2026-07-23 18:22:08.465527,,True,1
6,CUST00005,Harini Choudhury,Pune,XXXXX-8932,r***@example.org,2026-07-23 18:22:08.465527,,True,1
7,CUST00006,Aadi Naik,Bangalore,XXXXX-7182,h***@example.com,2026-07-23 18:22:08.465527,,True,1
8,CUST00007,Noah Lanka,Ahmedabad,XXXXX-7133,i***@example.net,2026-07-23 18:22:08.465527,,True,1
9,CUST00008,Ansh Karpe,Mumbai,XXXXX-8347,a***@example.net,2026-07-23 18:22:08.465527,,True,1
10,CUST00009,Urvashi Kibe,Bangalore,XXXXX-1065,m***@example.org,2026-07-23 18:22:08.465527,,True,1
11,CUST00010,Rehaan Gupta,Bangalore,XXXXX-0801,b***@example.org,2026-07-23 18:22:08.465527,,True,1
12,CUST00011,Niharika Sunder,Hyderabad,XXXXX-6872,z***@example.org,2026-07-23 18:22:08.465527,,True,1
13,CUST00012,Teerth Bhardwaj,Delhi,XXXXX-1219,m***@example.org,2026-07-23 18:22:08.465527,,True,1
14,CUST00013,Netra Dar,Hyderabad,XXXXX-5346,b***@example.com,2026-07-23 18:22:08.465527,,True,1
15,CUST00014,Tanvi Mutti,Ahmedabad,XXXXX-2513,a***@example.net,2026-07-23 18:22:08.465527,,True,1
16,CUST00015,Nakul Sarma,Kolkata,XXXXX-4493,a***@example.net,2026-07-23 18:22:08.465527,,True,1
17,CUST00016,Aishani Tiwari,Mumbai,XXXXX-4278,d***@example.org,2026-07-23 18:22:08.465527,,True,1
18,CUST00017,Isaac Borra,Delhi,XXXXX-0533,b***@example.net,2026-07-23 18:22:08.465527,,True,1
19,CUST00018,Niharika Dubey,Jaipur,XXXXX-1607,n***@example.com,2026-07-23 18:22:08.465527,,True,1
20,CUST00019,Triveni Palla,Kolkata,XXXXX-8685,v***@example.net,2026-07-23 18:22:08.465527,,True,1
21,CUST00020,Advika Gokhale,Pune,XXXXX-9340,b***@example.com,2026-07-23 18:22:08.465527,,True,1
22,CUST00021,Zinal Yohannan,Kolkata,XXXXX-4656,j***@example.org,2026-07-23 18:22:08.465527,,True,1
23,CUST00022,Rehaan Salvi,Bangalore,XXXXX-6995,n***@example.net,2026-07-23 18:22:08.465527,,True,1
24,CUST00023,Riya Kala,Mumbai,XXXXX-3320,q***@example.org,2026-07-23 18:22:08.465527,,True,1
25,CUST00024,Vaishnavi Bora,Kolkata,XXXXX-1632,o***@example.net,2026-07-23 18:22:08.465527,,True,1
26,CUST00025,Chandresh Krish,Bangalore,XXXXX-8687,s***@example.com,2026-07-23 18:22:08.465527,,True,1
27,CUST00026,Shivani Lad,Delhi,XXXXX-4558,a***@example.com,2026-07-23 18:22:08.465527,,True,1
28,CUST00027,Matthew Kashyap,Kolkata,XXXXX-0366,t***@example.org,2026-07-23 18:22:08.465527,,True,1
29,CUST00028,Lajita Sood,Jaipur,XXXXX-4670,p***@example.com,2026-07-23 18:22:08.465527,,True,1
30,CUST00029,Nidhi Gandhi,Chennai,XXXXX-2720,n***@example.net,2026-07-23 18:22:08.465527,,True,1
31,CUST00030,Falak Kakar,Pune,XXXXX-0531,v***@example.com,2026-07-23 18:22:08.465527,,True,1
32,CUST00031,Yug Iyengar,Bangalore,XXXXX-2991,d***@example.org,2026-07-23 18:22:08.465527,,True,1
33,CUST00032,Hritik Bal,Jaipur,XXXXX-0586,k***@example.org,2026-07-23 18:22:08.465527,,True,1
34,CUST00033,Yashawini Om,Surat,XXXXX-4987,s***@example.org,2026-07-23 18:22:08.465527,,True,1
35,CUST00034,Amrita Naidu,Ahmedabad,XXXXX-7527,g***@example.com,2026-07-23 18:22:08.465527,,True,1
36,CUST00035,Aarna Oak,Delhi,XXXXX-7770,a***@example.net,2026-07-23 18:22:08.465527,,True,1
37,CUST00036,Timothy Ravel,Kolkata,XXXXX-7444,d***@example.com,2026-07-23 18:22:08.465527,,True,1
38,CUST00037,Reyansh Mutti,Mumbai,XXXXX-1343,w***@example.org,2026-07-23 18:22:08.465527,,True,1
39,CUST00038,Chasmum Atwal,Surat,XXXXX-4777,a***@example.org,2026-07-23 18:22:08.465527,,True,1
40,CUST00039,Charan Krishnan,Delhi,XXXXX-4131,e***@example.com,2026-07-23 18:22:08.465527,,True,1
41,CUST00040,Upkaar Virk,Ahmedabad,XXXXX-1334,c***@example.com,2026-07-23 18:22:08.465527,,True,1
42,CUST00041,Wriddhish Ghose,Delhi,XXXXX-4713,d***@example.com,2026-07-23 18:22:08.465527,,True,1
43,CUST00042,Pavani Contractor,Jaipur,XXXXX-7174,m***@example.org,2026-07-23 18:22:08.465527,,True,1
44,CUST00043,Xiti Zacharia,Bangalore,XXXXX-3990,f***@example.net,2026-07-23 18:22:08.465527,,True,1
45,CUST00044,Parth Singhal,Ahmedabad,XXXXX-5125,l***@example.net,2026-07-23 18:22:08.465527,,True,1
46,CUST00045,Bhavya Rattan,Bangalore,XXXXX-7603,s***@example.com,2026-07-23 18:22:08.465527,,True,1
47,CUST00046,Wishi Sathe,Jaipur,XXXXX-3248,j***@example.net,2026-07-23 18:22:08.465527,,True,1
48,CUST00047,Girik Kar,Hyderabad,XXXXX-7378,s***@example.net,2026-07-23 18:22:08.465527,,True,1
49,CUST00048,Rayaan Trivedi,Jaipur,XXXXX-9727,e***@example.com,2026-07-23 18:22:08.465527,,True,1
50,CUST00049,Hemani Natarajan,Chennai,XXXXX-5766,u***@example.org,2026-07-23 18:22:08.465527,,True,1
51,CUST00050,Balhaar Date,Kolkata,XXXXX-4596,h***@example.net,2026-07-23 18:22:08.465527,,True,1
52,CUST00051,Lajita Nadig,Pune,XXXXX-7240,n***@example.org,2026-07-23 18:22:08.465527,,True,1
53,CUST00052,Daksh Memon,Jaipur,XXXXX-9693,k***@example.org,2026-07-23 18:22:08.465527,,True,1
54,CUST00053,Vincent Shenoy,Delhi,XXXXX-4647,t***@example.com,2026-07-23 18:22:08.465527,,True,1
55,CUST00054,Leena Subramanian,Chennai,XXXXX-0909,k***@example.net,2026-07-23 18:22:08.465527,,True,1
56,CUST00055,Victor Pandey,Pune,XXXXX-9521,r***@example.net,2026-07-23 18:22:08.465527,,True,1
57,CUST00056,Ojasvi Gill,Surat,XXXXX-5171,k***@example.com,2026-07-23 18:22:08.465527,,True,1
58,CUST00057,Mekhala Pau,Chennai,XXXXX-5137,r***@example.com,2026-07-23 18:22:08.465527,,True,1
59,CUST00058,Timothy Bhatnagar,Chennai,XXXXX-1382,p***@example.com,2026-07-23 18:22:08.465527,,True,1
60,CUST00059,Kamala Zachariah,Delhi,XXXXX-3773,a***@example.net,2026-07-23 18:22:08.465527,,True,1
61,CUST00060,Jhalak Parmer,Mumbai,XXXXX-5329,r***@example.org,2026-07-23 18:22:08.465527,,True,1
62,CUST00061,Sarthak Kalita,Delhi,XXXXX-1020,f***@example.net,2026-07-23 18:22:08.465527,,True,1
63,CUST00062,Ekiya Babu,Pune,XXXXX-5891,a***@example.org,2026-07-23 18:22:08.465527,,True,1
64,CUST00063,Caleb Verma,Jaipur,XXXXX-5921,t***@example.com,2026-07-23 18:22:08.465527,,True,1
65,CUST00064,Ekta Raj,Kolkata,XXXXX-6576,s***@example.com,2026-07-23 18:22:08.465527,,True,1
66,CUST00065,Dhriti Sane,Ahmedabad,XXXXX-5280,a***@example.net,2026-07-23 18:22:08.465527,,True,1
67,CUST00066,Jason Roy,Jaipur,XXXXX-7315,p***@example.net,2026-07-23 18:22:08.465527,,True,1
68,CUST00067,Ishwar Mallick,Surat,XXXXX-5022,p***@example.net,2026-07-23 18:22:08.465527,,True,1
69,CUST00068,Ekaraj Dhar,Ahmedabad,XXXXX-9910,c***@example.com,2026-07-23 18:22:08.465527,,True,1
70,CUST00069,Chandran Bumb,Ahmedabad,XXXXX-6149,s***@example.net,2026-07-23 18:22:08.465527,,True,1
71,CUST00070,Chakradev Kannan,Hyderabad,XXXXX-0762,a***@example.org,2026-07-23 18:22:08.465527,,True,1
72,CUST00071,Victor Tella,Delhi,XXXXX-6641,e***@example.com,2026-07-23 18:22:08.465527,,True,1
73,CUST00072,Ekta Garg,Hyderabad,XXXXX-6453,f***@example.com,2026-07-23 18:22:08.465527,,True,1
74,CUST00073,Faraj Uppal,Hyderabad,XXXXX-3292,w***@example.org,2026-07-23 18:22:08.465527,,True,1
75,CUST00074,Wakeeta Shetty,Ahmedabad,XXXXX-9058,o***@example.com,2026-07-23 18:22:08.465527,,True,1
76,CUST00075,Triya Seth,Mumbai,XXXXX-9807,b***@example.com,2026-07-23 18:22:08.465527,,True,1
77,CUST00076,Ekanta Soni,Delhi,XXXXX-7889,d***@example.org,2026-07-23 18:22:08.465527,,True,1
78,CUST00077,Kashish Mandal,Hyderabad,XXXXX-8644,x***@example.com,2026-07-23 18:22:08.465527,,True,1
79,CUST00078,Gauri Bumb,Pune,XXXXX-6528,i***@example.net,2026-07-23 18:22:08.465527,,True,1
80,CUST00079,Yashoda Pathak,Delhi,XXXXX-1418,p***@example.org,2026-07-23 18:22:08.465527,,True,1
81,CUST00080,Gayathri Deep,Chennai,XXXXX-3794,k***@example.org,2026-07-23 18:22:08.465527,,True,1
82,CUST00081,William More,Jaipur,XXXXX-6239,x***@example.net,2026-07-23 18:22:08.465527,,True,1
83,CUST00082,Charles Srivastava,Bangalore,XXXXX-1375,h***@example.com,2026-07-23 18:22:08.465527,,True,1
84,CUST00083,Chatresh Randhawa,Bangalore,XXXXX-0472,w***@example.com,2026-07-23 18:22:08.465527,,True,1
85,CUST00084,Abdul Buch,Ahmedabad,XXXXX-4103,k***@example.org,2026-07-23 18:22:08.465527,,True,1
86,CUST00085,Dev Choudhry,Delhi,XXXXX-9539,b***@example.net,2026-07-23 18:22:08.465527,,True,1
87,CUST00086,Frederick Viswanathan,Jaipur,XXXXX-5405,e***@example.net,2026-07-23 18:22:08.465527,,True,1
88,CUST00087,Wridesh Chawla,Mumbai,XXXXX-7043,k***@example.net,2026-07-23 18:22:08.465527,,True,1
89,CUST00088,Benjamin Mutti,Jaipur,XXXXX-4156,y***@example.com,2026-07-23 18:22:08.465527,,True,1
90,CUST00089,Libni Nori,Delhi,XXXXX-2845,w***@example.com,2026-07-23 18:22:08.465527,,True,1
91,CUST00090,Falak Merchant,Chennai,XXXXX-6401,s***@example.org,2026-07-23 18:22:08.465527,,True,1
92,CUST00091,Yochana Dutta,Hyderabad,XXXXX-0927,d***@example.org,2026-07-23 18:22:08.465527,,True,1
93,CUST00092,Sachi Bose,Ahmedabad,XXXXX-8681,j***@example.com,2026-07-23 18:22:08.465527,,True,1
94,CUST00093,Sanaya Kala,Hyderabad,XXXXX-1884,v***@example.org,2026-07-23 18:22:08.465527,,True,1
95,CUST00094,Owen Pathak,Bangalore,XXXXX-7829,j***@example.org,2026-07-23 18:22:08.465527,,True,1
96,CUST00095,Dayamai Rao,Mumbai,XXXXX-8528,a***@example.com,2026-07-23 18:22:08.465527,,True,1
97,CUST00096,Kai Sant,Kolkata,XXXXX-4143,d***@example.org,2026-07-23 18:22:08.465527,,True,1
98,CUST00097,Jeremiah Mitter,Ahmedabad,XXXXX-0010,t***@example.net,2026-07-23 18:22:08.465527,,True,1
99,CUST00098,Shivansh Saha,Hyderabad,XXXXX-0276,t***@example.net,2026-07-23 18:22:08.465527,,True,1
