customer_id,name,email,phone,city,age,registration_date
CUST00000,Isha Kadakia,ekbal92@example.net,3276483503,Chennai,65,2024-04-01
CUST00001,Nandini Loyal,kakardivya@example.org,7672423884,Jaipur,52,2024-02-23
CUST00002,Mohini Pathak,lakshitupadhyay@example.com,+910122691669,Kolkata,65,2024-06-28
CUST00003,Advay Contractor,harini14@example.com,+917048281489,Surat,45,2023-05-24
CUST00004,Neel Zacharia,naikvrinda@example.org,+915430391171,Surat,43,2024-06-18
CUST00005,Kabir Soman,alkawable@example.net,03834657871,Pune,32,2023-06-17
CUST00006,Hamsini Bail,thomasamble@example.org,0310518347,Bangalore,50,2023-05-31
CUST00007,Urvashi Kibe,mray@example.org,+916566701065,Ahmedabad,23,2024-03-21
CUST00008,Yuvraj Handa,saumyadey@example.com,+914731781080,Mumbai,25,2024-06-14
CUST00009,Ojas Ray,nsrivastava@example.com,+912606474687,Bangalore,58,2023-05-01
CUST00010,Teerth Bhardwaj,murthydakshesh@example.org,7882081219,Bangalore,68,2023-03-19
CUST00011,Netra Dar,balveerbumb@example.com,9985435346,Hyderabad,56,2023-04-19
CUST00012,Tanvi Mutti,andratara@example.net,1183842513,Delhi,42,2023-08-17
CUST00013,Raksha Mittal,mistryhemang@example.org,01182449353,Hyderabad,56,2024-01-24
CUST00014,Yashasvi Suresh,charan16@example.com,+910524278680,Ahmedabad,51,2023-04-10
CUST00015,Balendra Pingle,qushidatta@example.org,05053315869,Kolkata,53,2024-02-24
CUST00016,Nicholas Goel,lbakshi@example.net,06342160733,Mumbai,61,2024-03-29
CUST00017,Inaya Mody,udantbajwa@example.net,+916541458685,Delhi,61,2024-05-30
CUST00018,Advika Gokhale,balvan19@example.com,05698169340,Jaipur,66,2024-02-04
CUST00019,Zinal Yohannan,janujasankar@example.org,5951484656,Kolkata,67,2024-01-29
CUST00020,Rehaan Salvi,nghosh@example.net,06804436995,Pune,25,2023-10-04
CUST00021,Tanay Vaidya,qgara@example.org,08951343320,Kolkata,45,2023-03-08
CUST00022,Elijah Shah,thayer@example.net,07632016328,Bangalore,47,2023-10-04
CUST00023,Jairaj Shan,ucchalwali@example.net,5798687277,Mumbai,64,2023-06-23
CUST00024,Aradhana Verma,rkhare@example.com,+914345581223,Kolkata,50,2023-08-24
CUST00025,Tanish Bhatt,vreddy@example.net,06036690967,Bangalore,50,2023-02-15
CUST00026,Chanchal Ramakrishnan,vyohannan@example.net,9373467065,Delhi,58,2024-01-15
